short_name,player_positions,value_eur,overall,potential,age,international_reputation,preferred_foot,weak_foot,skill_moves,height_cm,weight_kg,pace,shooting,passing,dribbling,defending,physic
B. Johnson,"RW, ST",15000000.0,76,83,22,1,Right,4,3,179,71,89.0,74.0,67.0,77.0,41.0,59.0
C. De Ketelaere,"CAM, ST",15000000.0,76,83,22,1,Left,3,4,192,79,72.0,73.0,75.0,78.0,57.0,72.0
B. Brobbey,ST,15500000.0,76,83,21,1,Right,4,3,180,78,82.0,73.0,56.0,71.0,30.0,80.0
Nico González,"CDM, CM",14500000.0,76,83,21,1,Right,3,3,188,85,66.0,62.0,74.0,75.0,71.0,79.0
A. Truffert,LB,14500000.0,76,83,21,2,Left,3,2,176,70,74.0,55.0,70.0,74.0,72.0,69.0
A. Onana,"CDM, CM",14500000.0,76,83,21,1,Right,4,3,192,76,73.0,59.0,69.0,71.0,73.0,78.0
Álex Baena,"CM, LM",15000000.0,76,83,21,1,Right,4,3,174,69,75.0,76.0,75.0,75.0,68.0,64.0
I. Ilić,"CM, CF",15000000.0,76,83,22,1,Left,3,3,185,75,70.0,72.0,77.0,77.0,66.0,71.0
N. Zalewski,"RM, LM",15000000.0,76,83,21,1,Right,4,3,175,78,86.0,60.0,73.0,77.0,60.0,58.0
C. Carter-Vickers,CB,10500000.0,76,82,25,1,Right,3,2,185,92,75.0,31.0,56.0,69.0,75.0,83.0
N. Pérez,CB,11000000.0,76,82,23,1,Right,3,2,186,75,57.0,25.0,47.0,51.0,78.0,75.0
A. Moreno,"CDM, CM",11000000.0,76,82,24,1,Right,3,3,177,73,74.0,64.0,72.0,75.0,75.0,68.0
J. Teze,"RB, CB",11000000.0,76,82,23,1,Right,3,2,183,68,77.0,48.0,64.0,67.0,77.0,80.0
L. Barreiro Martins,"CM, CDM",12000000.0,76,82,23,2,Right,3,3,174,68,68.0,61.0,69.0,80.0,73.0,64.0
Tetê,"RM, RW",12000000.0,76,82,23,1,Left,3,4,175,70,81.0,72.0,72.0,79.0,41.0,55.0
A. Hickey,"RB, RWB, LB",11500000.0,76,82,21,1,Right,5,2,185,72,75.0,55.0,70.0,75.0,73.0,68.0
David Carmo,CB,11000000.0,76,82,23,1,Left,2,2,196,89,54.0,28.0,54.0,51.0,77.0,81.0
S. Dest,"RB, LB",11500000.0,76,82,22,1,Right,4,4,173,68,83.0,59.0,73.0,81.0,68.0,66.0
T. Pobega,CM,12000000.0,76,82,23,1,Left,4,3,188,75,76.0,77.0,72.0,76.0,74.0,79.0
Tiago Djaló,CB,11000000.0,76,82,23,1,Right,3,2,190,82,81.0,42.0,61.0,64.0,76.0,79.0
A. Ounahi,CM,12000000.0,76,82,23,1,Right,3,3,182,62,64.0,63.0,72.0,78.0,64.0,69.0
Danilo,"CDM, CM",11000000.0,76,82,22,1,Left,3,2,176,69,70.0,62.0,68.0,69.0,73.0,70.0
N. Dorsch,"CDM, CM",10000000.0,76,81,25,2,Right,3,3,175,76,66.0,72.0,74.0,78.0,72.0,73.0
E. Cömert,CB,10000000.0,76,81,25,1,Right,4,2,183,80,73.0,49.0,63.0,57.0,76.0,78.0
O. Wijndal,LB,10500000.0,76,81,23,2,Left,2,3,176,65,77.0,53.0,74.0,75.0,71.0,71.0
Cucho Hernández,"ST, RM, LM",11500000.0,76,81,24,1,Right,4,3,176,73,82.0,75.0,69.0,75.0,42.0,76.0
S. Niakaté,"CB, LB",10000000.0,76,81,23,1,Left,3,2,186,76,72.0,39.0,51.0,64.0,77.0,80.0
M. Ojeda,"RM, LM",11500000.0,76,81,24,1,Left,4,3,175,59,83.0,77.0,73.0,76.0,35.0,64.0
T. Mitchell,LB,10500000.0,76,81,23,1,Left,3,2,175,66,75.0,39.0,60.0,70.0,75.0,68.0
Igor,CB,10000000.0,76,81,25,1,Left,2,2,185,84,72.0,31.0,50.0,55.0,77.0,85.0
S. Bornauw,CB,10000000.0,76,81,24,2,Right,3,2,191,83,77.0,45.0,59.0,55.0,76.0,78.0
L. Balerdi,CB,10000000.0,76,81,24,2,Right,3,2,187,85,65.0,36.0,61.0,65.0,76.0,75.0
D. McNeil,"LM, RM",11500000.0,76,81,23,1,Left,2,3,183,70,68.0,66.0,75.0,78.0,54.0,66.0
M. Salisu,CB,10000000.0,76,81,24,1,Left,3,2,191,85,68.0,36.0,50.0,53.0,77.0,79.0
Adrià Pedrosa,LB,10000000.0,76,81,25,1,Left,3,3,176,69,90.0,60.0,69.0,78.0,69.0,73.0
R. Sottil,"LW, RW",11500000.0,76,81,24,1,Right,3,4,180,75,89.0,66.0,69.0,78.0,34.0,52.0
Álvaro Valles,GK,9000000.0,76,81,25,1,Right,2,1,192,82,,,,,,
A. Král,"CDM, CM",10000000.0,76,81,25,2,Right,3,3,186,76,69.0,70.0,71.0,76.0,74.0,79.0
Nuno Tavares,"LB, LM",10500000.0,76,81,23,1,Left,4,3,183,75,86.0,65.0,69.0,74.0,68.0,80.0
L. Ivanušec,"CAM, LW, CM",11500000.0,76,81,24,1,Right,3,4,175,76,82.0,73.0,71.0,82.0,58.0,73.0
A. Kalimuendo,ST,11500000.0,76,81,21,2,Right,3,3,175,79,80.0,75.0,59.0,77.0,29.0,67.0
O. Dorley,"CM, LB, LM",11500000.0,76,81,24,1,Left,3,4,174,66,80.0,57.0,76.0,79.0,73.0,69.0
W. Omari,CB,10000000.0,76,81,23,1,Right,3,2,188,74,65.0,34.0,58.0,62.0,77.0,73.0
Vitinha,ST,11500000.0,76,81,23,1,Right,3,3,178,74,76.0,75.0,62.0,75.0,33.0,81.0
A. Nübel,GK,8000000.0,76,80,26,2,Right,5,1,193,86,,,,,,
V. Milinković-Savić,GK,8000000.0,76,80,26,1,Right,3,1,202,90,,,,,,
O. Boscagli,CB,9500000.0,76,80,25,2,Left,4,3,181,68,72.0,49.0,73.0,74.0,77.0,75.0
K. Grabara,GK,8500000.0,76,80,24,1,Right,3,1,195,85,,,,,,
M. Svanberg,"CM, CDM",10500000.0,76,80,24,2,Right,3,3,185,77,76.0,68.0,75.0,77.0,62.0,69.0
M. Wöber,"CB, LB",9500000.0,76,80,25,1,Left,3,2,188,82,65.0,52.0,67.0,64.0,75.0,79.0
Y. Herrera,"CM, CDM, CAM",10500000.0,76,80,25,1,Right,3,3,184,77,60.0,72.0,72.0,74.0,76.0,76.0
O. Mangala,"CM, CDM",10500000.0,76,80,25,2,Right,3,3,178,80,63.0,54.0,72.0,82.0,71.0,72.0
Diogo Leite,CB,9500000.0,76,80,24,1,Left,3,2,188,83,57.0,38.0,51.0,61.0,78.0,75.0
J. Brekalo,"CF, LW, LM",10500000.0,76,80,25,2,Right,4,4,175,70,77.0,74.0,76.0,81.0,38.0,54.0
H. Aouar,"CAM, LM, CM",10500000.0,76,80,25,2,Right,3,4,175,70,69.0,68.0,75.0,80.0,64.0,67.0
V. Janelt,"CDM, CM",9500000.0,76,80,25,1,Left,3,3,184,79,67.0,69.0,71.0,72.0,73.0,77.0
W. McKennie,"CM, CDM, RM",10500000.0,76,80,24,2,Right,3,3,185,90,72.0,72.0,75.0,77.0,77.0,78.0
A. Matusiwa,"CDM, CM",9500000.0,76,80,25,2,Right,3,3,173,72,50.0,47.0,63.0,69.0,74.0,79.0
H. Traorè,"LM, LW, CAM",11000000.0,76,80,23,1,Right,3,3,177,77,79.0,69.0,72.0,78.0,57.0,62.0
J. Wind,"ST, CF",11000000.0,76,80,24,1,Right,3,3,190,82,60.0,75.0,71.0,75.0,36.0,78.0
M. Kilman,CB,9000000.0,76,80,26,1,Left,4,2,194,89,61.0,42.0,64.0,63.0,77.0,78.0
Tuta,CB,9500000.0,76,80,23,2,Right,2,2,185,81,75.0,49.0,63.0,70.0,75.0,78.0
A. Szalai,CB,9500000.0,76,80,25,1,Left,3,2,192,83,73.0,45.0,64.0,65.0,76.0,82.0
I. De Arruabarrena,GK,8000000.0,76,80,26,1,Right,2,1,183,79,,,,,,
F. Gatti,CB,9500000.0,76,80,25,1,Right,3,2,190,80,66.0,35.0,50.0,59.0,78.0,76.0
P. Gollini,GK,7000000.0,76,79,28,2,Right,2,1,194,94,,,,,,
V. Černý,RW,10000000.0,76,79,25,1,Left,3,3,182,65,89.0,70.0,67.0,79.0,38.0,64.0
D. Ćaleta-Car,CB,8500000.0,76,79,26,2,Right,3,2,192,89,56.0,39.0,58.0,60.0,76.0,80.0
R. Mandragora,"CM, CDM",9500000.0,76,79,26,2,Left,3,3,183,75,55.0,66.0,75.0,75.0,74.0,75.0
T. Kehrer,"CB, RB",8500000.0,76,79,26,2,Right,5,2,186,76,71.0,44.0,65.0,65.0,76.0,75.0
A. Batalla,GK,7500000.0,76,79,27,1,Right,3,1,185,87,,,,,,
M. Matviienko,"CB, LB",8500000.0,76,79,27,1,Left,3,2,182,74,77.0,48.0,67.0,69.0,77.0,74.0
Á. Montero,GK,7000000.0,76,79,28,1,Right,2,1,196,85,,,,,,
S. Serdar,CM,9500000.0,76,79,26,2,Right,3,4,184,75,68.0,71.0,71.0,79.0,73.0,77.0
M. Diakhaby,"CB, CDM",8500000.0,76,79,26,1,Right,3,2,189,78,55.0,39.0,55.0,59.0,77.0,76.0
J. Justin,"LB, RB",9000000.0,76,79,25,1,Right,4,3,183,80,79.0,50.0,70.0,73.0,73.0,69.0
K. Nakamura,GK,7000000.0,76,79,28,1,Right,3,1,185,82,,,,,,
W. Faes,CB,9000000.0,76,79,25,1,Right,3,2,187,82,53.0,39.0,55.0,59.0,77.0,77.0
R. Nicolaisen,CB,8500000.0,76,79,26,2,Left,3,2,191,81,47.0,41.0,57.0,60.0,76.0,80.0
I. Sarr,"RM, LM, RW",10000000.0,76,79,25,1,Right,2,4,185,76,94.0,76.0,66.0,79.0,22.0,68.0
C. Rodríguez,"CAM, CM",,76,79,26,1,Right,3,3,171,64,77.0,67.0,73.0,78.0,66.0,68.0
R. Koch,"CB, CDM",8500000.0,76,79,26,2,Right,4,2,192,85,61.0,38.0,60.0,64.0,78.0,74.0
K. Dewsbury-Hall,"CM, CDM",10000000.0,76,79,24,1,Left,3,3,180,70,66.0,66.0,75.0,76.0,68.0,75.0
K. Wagner,"LB, LWB",9000000.0,76,79,26,1,Left,3,3,182,78,78.0,48.0,69.0,70.0,73.0,80.0
Carles Pérez,"RM, CAM",10000000.0,76,79,25,1,Left,2,4,173,75,80.0,74.0,70.0,80.0,37.0,63.0
D. Ljubičić,"RM, CDM, CM",10000000.0,76,79,25,1,Right,3,3,187,74,76.0,70.0,71.0,75.0,72.0,78.0
D. Rossi,"LM, CF",10000000.0,76,79,25,1,Right,3,3,170,66,88.0,71.0,70.0,76.0,34.0,55.0
Y. Sugawara,"RB, RW",9500000.0,76,79,23,1,Right,3,3,178,68,82.0,53.0,74.0,72.0,70.0,73.0
A. Bayındır,GK,7500000.0,76,79,25,1,Right,2,1,198,73,,,,,,
Puado,"LM, RM, ST",10000000.0,76,79,25,1,Right,4,4,177,69,83.0,74.0,68.0,76.0,51.0,76.0
R. Zerrouki,"CM, CDM",10000000.0,76,79,25,1,Right,3,3,183,72,68.0,65.0,73.0,76.0,70.0,81.0
H. Boudaoui,"CM, RM, CDM",10000000.0,76,79,23,1,Right,3,3,175,61,75.0,65.0,73.0,77.0,74.0,75.0
A. Alvarado,"LM, LW",10000000.0,76,79,24,1,Right,3,4,165,69,86.0,71.0,70.0,78.0,55.0,70.0
J. Kuchta,ST,10000000.0,76,79,26,1,Right,3,3,185,81,79.0,74.0,65.0,72.0,35.0,82.0
W. Falcone,GK,6500000.0,76,78,28,1,Right,2,1,196,85,,,,,,
J. Staněk,GK,7000000.0,76,78,27,1,Right,2,1,192,90,,,,,,
R. Zentner,GK,6500000.0,76,78,28,2,Right,3,1,194,96,,,,,,
Z. Çelik,"RWB, RM, RB",8500000.0,76,78,26,2,Right,3,3,180,78,75.0,59.0,69.0,70.0,73.0,78.0
S. Mavididi,"LW, ST",9500000.0,76,78,25,1,Right,3,3,182,71,87.0,75.0,69.0,76.0,28.0,69.0
S. Spierings,"CDM, CM",8000000.0,76,78,27,1,Right,3,3,188,81,56.0,66.0,68.0,70.0,76.0,75.0
K. Walker-Peters,"RB, LB",8500000.0,76,78,26,1,Right,4,3,173,62,75.0,43.0,66.0,73.0,73.0,70.0
J. Cullen,"CDM, CM",8000000.0,76,78,27,1,Right,3,3,175,70,68.0,56.0,74.0,73.0,73.0,70.0
H. Cuypers,ST,9500000.0,76,78,26,1,Right,4,3,185,78,74.0,76.0,67.0,69.0,44.0,76.0
A. Laïdouni,"CDM, CM",8500000.0,76,78,26,1,Right,2,3,183,81,71.0,60.0,67.0,74.0,70.0,79.0
J. Mæhle,"LB, LW, RW",8500000.0,76,78,26,2,Right,3,3,185,79,83.0,57.0,69.0,71.0,70.0,77.0
Toni Martínez,ST,9500000.0,76,78,26,1,Right,3,3,187,84,69.0,76.0,60.0,72.0,24.0,79.0
M. Senesi,CB,8000000.0,76,78,26,2,Left,4,3,183,78,59.0,42.0,69.0,72.0,76.0,75.0
A. Caci,"LWB, CB, LM",8500000.0,76,78,26,2,Right,5,3,185,76,69.0,52.0,71.0,70.0,76.0,73.0
O. Alderete,CB,8000000.0,76,78,26,1,Left,3,2,188,77,63.0,56.0,58.0,64.0,78.0,77.0
Z. Sanusi,LB,8500000.0,76,78,26,1,Left,2,2,182,71,93.0,37.0,55.0,63.0,73.0,72.0
M. Braida,"LWB, LW, RW",8500000.0,76,78,26,1,Right,4,3,175,72,81.0,69.0,69.0,75.0,72.0,72.0
M. Dupé,GK,5500000.0,76,77,30,1,Right,3,1,188,85,,,,,,
H. Reed,"CDM, CM",7000000.0,76,77,28,1,Right,3,3,175,72,68.0,60.0,72.0,71.0,72.0,75.0
M. Dembélé,ST,9000000.0,76,77,26,2,Right,3,3,183,79,71.0,75.0,62.0,72.0,30.0,79.0
A. Djiku,CB,7000000.0,76,77,28,2,Right,3,2,182,81,66.0,43.0,66.0,67.0,76.0,80.0
C. Akpom,"ST, CAM",9000000.0,76,77,27,1,Right,3,3,186,81,81.0,75.0,58.0,72.0,31.0,76.0
M. Cornet,"LM, CF",9000000.0,76,77,26,2,Left,4,3,179,69,85.0,75.0,70.0,76.0,67.0,72.0
K. Tete,RB,8000000.0,76,77,27,1,Right,2,2,180,71,75.0,47.0,68.0,69.0,75.0,76.0
A. Noppert,GK,6000000.0,76,77,29,2,Left,3,1,203,92,,,,,,
M. Targett,LB,8000000.0,76,77,27,1,Left,2,3,183,70,66.0,47.0,72.0,72.0,75.0,68.0
E. Bailly,CB,7000000.0,76,77,29,2,Right,3,3,187,77,68.0,42.0,59.0,66.0,76.0,72.0
K. Iheanacho,ST,9000000.0,76,77,26,1,Left,3,4,185,82,72.0,77.0,71.0,78.0,38.0,71.0
J. Laporte,CB,7000000.0,76,77,29,2,Right,3,2,185,82,37.0,29.0,46.0,51.0,77.0,83.0
R. Holding,CB,7500000.0,76,77,27,1,Right,3,2,189,75,53.0,34.0,61.0,65.0,78.0,73.0
F. Grillitsch,"CDM, CB",7500000.0,76,77,27,2,Right,3,3,187,77,64.0,60.0,76.0,75.0,73.0,66.0
A. Robinson,"LB, LWB",8000000.0,76,77,25,1,Left,3,3,182,70,87.0,45.0,68.0,76.0,70.0,76.0
J. Harrison,"LM, RM",9000000.0,76,77,26,1,Left,3,4,175,70,80.0,70.0,70.0,79.0,49.0,69.0
A. Harit,"LM, CF",9000000.0,76,77,26,2,Right,3,5,180,67,80.0,62.0,72.0,82.0,40.0,48.0
Odriozola,RB,8000000.0,76,77,27,1,Right,3,3,176,66,80.0,55.0,69.0,74.0,72.0,65.0
R. Sallai,"RM, CF, CAM",9000000.0,76,77,26,2,Right,4,4,183,75,73.0,70.0,71.0,78.0,37.0,69.0
V. Rosier,RB,8000000.0,76,77,26,1,Right,2,3,175,75,84.0,52.0,65.0,75.0,72.0,76.0
R. Marin,"CM, CDM",8500000.0,76,77,27,1,Right,4,4,178,75,71.0,74.0,77.0,75.0,69.0,73.0
Eric Curbelo,"CB, RB",7000000.0,76,77,29,1,Right,5,2,181,77,84.0,38.0,66.0,67.0,76.0,81.0
D. Gazdag,"CAM, CM",8500000.0,76,77,27,1,Right,2,3,178,76,77.0,74.0,68.0,77.0,54.0,68.0
Gorosabel,RB,8000000.0,76,77,26,1,Right,2,2,174,70,74.0,46.0,70.0,72.0,74.0,67.0
Aguado,"CM, CAM, CDM",8500000.0,76,77,27,1,Right,3,3,175,71,74.0,70.0,74.0,75.0,65.0,60.0
I. Baba,"CM, CDM",8500000.0,76,77,27,1,Right,4,2,185,73,61.0,66.0,68.0,69.0,72.0,77.0
K. Despodov,"RM, ST, LM",9000000.0,76,77,26,1,Right,4,3,178,69,89.0,77.0,71.0,75.0,29.0,66.0
Santi Cazorla,"CM, CAM, LM",2400000.0,76,76,38,3,Right,5,4,168,65,61.0,74.0,79.0,80.0,66.0,59.0
A. Young,"LB, RB, LM",1700000.0,76,76,37,2,Right,3,4,175,65,65.0,66.0,77.0,75.0,76.0,71.0
A. Guardado,CDM,1500000.0,76,76,36,3,Left,2,3,169,67,59.0,68.0,79.0,78.0,71.0,67.0
F. Forster,GK,825000.0,76,76,35,2,Right,5,1,201,93,,,,,,
D. Wass,"RB, CM",2800000.0,76,76,34,2,Right,3,3,181,74,71.0,75.0,78.0,75.0,73.0,75.0
K. Gameiro,ST,2600000.0,76,76,36,3,Right,4,3,172,69,79.0,77.0,73.0,75.0,41.0,65.0
A. Lallana,"CAM, CM, CDM",3100000.0,76,76,35,2,Right,5,4,178,73,56.0,70.0,77.0,77.0,63.0,61.0
N. Amrabat,"RM, RW, LM",2400000.0,76,76,36,2,Right,2,3,179,87,78.0,70.0,74.0,77.0,55.0,86.0
M. Kruse,"CF, CAM",3200000.0,76,76,35,2,Left,4,4,180,76,51.0,80.0,80.0,79.0,39.0,61.0
A. Ogbonna,CB,2000000.0,76,76,35,2,Left,3,2,191,86,40.0,40.0,59.0,59.0,79.0,67.0
D. Welbeck,ST,6000000.0,76,76,32,2,Right,3,3,185,73,68.0,73.0,70.0,76.0,42.0,71.0
P. van Aanholt,LB,5000000.0,76,76,32,2,Left,3,3,176,67,84.0,67.0,70.0,75.0,70.0,74.0
S. Nzonzi,"CDM, CM",2600000.0,76,76,34,2,Right,3,2,196,89,37.0,56.0,69.0,67.0,75.0,82.0
M. Lanzini,"CAM, LM",7000000.0,76,76,30,2,Right,3,4,167,59,65.0,73.0,77.0,79.0,41.0,49.0
F. Caputo,ST,3200000.0,76,76,35,1,Right,4,3,181,77,74.0,77.0,62.0,76.0,30.0,64.0
R. Bürki,GK,3700000.0,76,76,32,3,Right,2,1,187,85,,,,,,
Aridane,CB,2400000.0,76,76,34,1,Right,3,2,188,79,47.0,36.0,54.0,54.0,76.0,84.0
S. Zuber,"ST, LM",6500000.0,76,76,31,2,Right,4,3,182,83,77.0,74.0,74.0,75.0,65.0,76.0
Rubén Pérez,"CDM, CM",2600000.0,76,76,34,1,Right,3,2,178,72,50.0,63.0,70.0,66.0,72.0,74.0
M. Hitz,GK,825000.0,76,76,35,2,Right,3,1,194,91,,,,,,
M. Rits,CM,7500000.0,76,76,29,1,Right,5,3,178,73,78.0,72.0,74.0,74.0,73.0,75.0
Ai Kesen,"LW, ST",4700000.0,76,76,33,2,Right,4,4,180,83,82.0,78.0,73.0,78.0,48.0,79.0
K. Vogt,CB,5000000.0,76,76,31,2,Right,3,2,194,87,69.0,57.0,72.0,68.0,76.0,76.0
Paulo Victor,GK,825000.0,76,76,36,1,Left,2,1,187,81,,,,,,
G. Pezzella,CB,4900000.0,76,76,32,1,Right,3,2,187,81,53.0,49.0,49.0,56.0,77.0,74.0
Willian José,ST,6500000.0,76,76,31,2,Right,4,4,189,91,63.0,77.0,65.0,71.0,39.0,80.0
M. Faraoni,"RWB, RM, RB",5500000.0,76,76,31,1,Right,4,3,180,71,76.0,72.0,74.0,75.0,70.0,72.0
D. Pabón,"RM, RW, CAM",3100000.0,76,76,35,1,Right,4,4,170,74,81.0,79.0,74.0,73.0,38.0,69.0
N. Lodeiro,"CAM, CM",3500000.0,76,76,34,3,Left,3,4,170,69,65.0,72.0,78.0,79.0,49.0,69.0
J. Svensson,RB,6500000.0,76,76,30,1,Right,3,3,172,69,80.0,60.0,70.0,74.0,72.0,79.0
C. Bakambu,ST,6000000.0,76,76,32,2,Right,3,3,182,73,81.0,77.0,66.0,73.0,36.0,63.0
N. Höfler,"CDM, CM",3700000.0,76,76,33,2,Right,3,2,181,79,57.0,47.0,66.0,68.0,77.0,76.0
M. Ozdoev,"CM, CDM",7000000.0,76,76,30,1,Right,4,3,184,77,73.0,72.0,74.0,75.0,72.0,75.0
M. Bizot,GK,3700000.0,76,76,32,2,Right,2,1,193,88,,,,,,
Cristian Tello,"LW, CAM",6000000.0,76,76,31,2,Right,4,4,178,65,89.0,72.0,74.0,76.0,47.0,61.0
B. Lecomte,GK,3700000.0,76,76,32,2,Left,3,1,186,78,,,,,,
J. Schlupp,"CDM, CM",6500000.0,76,76,30,1,Left,2,3,178,72,82.0,71.0,70.0,76.0,74.0,75.0
R. Saponara,"LM, LW, CF",6000000.0,76,76,31,2,Right,4,4,184,73,68.0,71.0,78.0,79.0,41.0,59.0
A. Mandi,"CB, RB",5000000.0,76,76,31,1,Right,3,2,184,78,60.0,46.0,71.0,67.0,77.0,72.0
M. Haïdara,"LWB, CB",6500000.0,76,76,30,1,Left,3,3,179,76,77.0,58.0,64.0,72.0,74.0,79.0
C. Coady,CB,6000000.0,76,76,30,1,Right,3,2,186,80,46.0,57.0,76.0,66.0,79.0,71.0
T. Meunier,"RB, RM",5500000.0,76,76,31,3,Right,4,3,191,90,68.0,74.0,72.0,71.0,74.0,82.0
J. Roussillon,"LWB, LM",6500000.0,76,76,30,2,Left,2,3,175,80,82.0,65.0,69.0,76.0,71.0,73.0
W. Boly,CB,4900000.0,76,76,32,1,Right,4,2,195,97,53.0,36.0,60.0,58.0,76.0,77.0
D. Klaassen,"CM, CAM",7000000.0,76,76,30,2,Right,3,3,179,70,61.0,78.0,72.0,72.0,71.0,77.0
B. De Cordova-Reid,"RM, LM",7000000.0,76,76,30,1,Right,3,3,170,68,75.0,72.0,71.0,77.0,59.0,65.0
J. Brooks,CB,6000000.0,76,76,30,2,Left,3,2,194,94,56.0,40.0,57.0,61.0,77.0,76.0
Roque Mesa,"CM, CDM",3500000.0,76,76,34,1,Right,3,3,172,76,66.0,68.0,76.0,75.0,69.0,79.0
R. Jiménez,ST,6000000.0,76,76,32,3,Right,4,3,188,81,66.0,77.0,75.0,74.0,45.0,78.0
F. Fajr,"CM, RM, CDM",3500000.0,76,76,34,2,Right,4,3,180,70,59.0,72.0,79.0,76.0,65.0,69.0
Ruiz de Galarreta,"CM, CDM",7500000.0,76,76,29,1,Right,3,3,175,69,67.0,62.0,71.0,73.0,71.0,70.0
Alberto Moreno,"LB, LM",6500000.0,76,76,30,2,Left,2,3,171,65,79.0,69.0,73.0,76.0,71.0,68.0
João Paulo,"CM, CDM",6000000.0,76,76,32,1,Right,3,3,171,71,70.0,69.0,77.0,75.0,71.0,74.0
M. De Sciglio,"RB, RM, LB",6500000.0,76,76,30,2,Right,4,3,183,78,66.0,46.0,70.0,74.0,76.0,69.0
S. Johnstone,GK,5000000.0,76,76,30,2,Right,3,1,193,85,,,,,,
J. Murphy,"RW, LW",7500000.0,76,76,28,1,Right,4,3,179,74,83.0,68.0,70.0,78.0,62.0,64.0
Patric,CB,6000000.0,76,76,30,1,Right,3,2,184,72,68.0,53.0,69.0,71.0,77.0,73.0
M. Stevanović,"RM, RW",6000000.0,76,76,32,2,Right,4,3,180,72,80.0,68.0,75.0,75.0,39.0,69.0
Pablo Marí,CB,6500000.0,76,76,29,2,Left,3,2,193,87,59.0,40.0,51.0,54.0,77.0,75.0
F. Vázquez,"CAM, CF",3500000.0,76,76,34,2,Left,3,4,187,82,46.0,78.0,77.0,77.0,58.0,76.0
Y. Poulsen,ST,7500000.0,76,76,29,2,Right,3,3,192,84,74.0,71.0,67.0,73.0,56.0,81.0
Willian Arão,"CDM, CM",5000000.0,76,76,31,1,Right,3,3,181,74,67.0,62.0,67.0,68.0,76.0,82.0
P. Mantalos,"CAM, LM, CM",6000000.0,76,76,31,1,Right,4,3,177,74,73.0,69.0,78.0,77.0,55.0,64.0
A. Bakasetas,"CM, CAM",7000000.0,76,76,30,1,Left,4,3,181,78,66.0,78.0,77.0,76.0,59.0,76.0
J. Gastien,"CDM, CM",2100000.0,76,76,35,2,Right,3,2,179,69,42.0,63.0,68.0,71.0,72.0,75.0
R. Gauld,"CF, CAM",8000000.0,76,76,27,1,Left,3,4,169,62,84.0,66.0,76.0,82.0,51.0,51.0
C. Goodwin,"LM, RM",6000000.0,76,76,31,1,Left,3,3,180,72,84.0,74.0,74.0,72.0,59.0,76.0
J. Nsame,ST,7500000.0,76,76,30,2,Right,4,3,188,88,67.0,77.0,54.0,71.0,27.0,80.0
A. Brignoli,GK,4000000.0,76,76,31,1,Left,3,1,187,74,,,,,,
Jonny,"LB, LWB, RWB",6500000.0,76,76,29,2,Right,3,3,170,70,68.0,54.0,69.0,74.0,75.0,67.0
R. Steffen,"RM, LM",6000000.0,76,76,31,2,Left,3,3,170,72,86.0,71.0,71.0,78.0,53.0,66.0
K. Mbabu,RB,7000000.0,76,76,28,2,Right,3,3,184,83,84.0,51.0,67.0,71.0,72.0,80.0
M. Halstenberg,"CB, LWB",5000000.0,76,76,31,2,Left,3,3,188,87,64.0,66.0,74.0,72.0,76.0,78.0
C. Nielsen,"CM, CDM",7500000.0,76,76,29,1,Right,3,3,182,76,71.0,71.0,76.0,74.0,73.0,79.0
E. Hysaj,"LB, RB",6500000.0,76,76,29,2,Right,3,3,182,70,75.0,51.0,66.0,73.0,73.0,70.0
M. Sanson,"CM, CAM",7500000.0,76,76,28,2,Right,4,4,180,73,67.0,73.0,77.0,76.0,70.0,70.0
A. Maxim,"CAM, CM, LM",6000000.0,76,76,32,2,Right,4,5,177,73,69.0,76.0,77.0,79.0,32.0,60.0
S. Boufal,"CF, LM, ST",,76,76,29,2,Right,4,4,175,67,79.0,71.0,75.0,82.0,30.0,57.0
R. Khedira,"CDM, CB",6500000.0,76,76,29,2,Right,3,2,189,86,60.0,43.0,58.0,61.0,79.0,83.0
D. Lazović,"LM, CF",6000000.0,76,76,32,1,Right,4,3,181,66,77.0,72.0,73.0,77.0,64.0,62.0
B. Mechele,CB,6000000.0,76,76,30,1,Right,4,2,190,79,55.0,39.0,51.0,53.0,80.0,76.0
Medrán,"CM, CDM",7500000.0,76,76,29,1,Right,5,3,178,71,57.0,71.0,78.0,77.0,63.0,66.0
A. Masuaku,"LB, LWB",6500000.0,76,76,29,2,Left,2,4,179,80,79.0,61.0,73.0,79.0,70.0,79.0
W. Zimmerman,CB,6000000.0,76,76,30,2,Right,3,2,190,89,56.0,50.0,55.0,56.0,74.0,84.0
L. Augustinsson,"LB, LM, LWB",6500000.0,76,76,29,1,Left,2,3,181,74,61.0,62.0,76.0,73.0,75.0,66.0
L. Abergel,"CDM, CM",6500000.0,76,76,30,1,Right,3,3,170,65,66.0,50.0,69.0,73.0,72.0,75.0
F. Tait,CM,7000000.0,76,76,30,2,Right,3,3,176,73,68.0,71.0,75.0,77.0,67.0,67.0
A. Iwobi,"RM, CM",8000000.0,76,76,27,2,Right,3,4,185,75,74.0,64.0,73.0,78.0,56.0,74.0
Helton Leite,GK,3700000.0,76,76,32,1,Right,2,1,196,92,,,,,,
Adama Traoré,"RW, RM, ST",8000000.0,76,76,27,1,Right,2,4,178,86,93.0,65.0,66.0,83.0,39.0,81.0
F. Fabra,LB,5000000.0,76,76,32,1,Left,3,3,174,78,81.0,68.0,74.0,78.0,70.0,76.0
